Star,Period (Days),Type
V001,0.76343,AC
V002,0.60442,ab
V003,0.60078,ab
V004,0.41651,d
V005,0.599,ab
V006,0.40436,d
V007,0.59112,ab
V008,0.64982,ab
V009,0.59209,ab
V010,0.62107,ab
V011,0.67417,ab
V012,0.64053,ab
V013,0.64841,ab
V014,0.60836,ab
V015,0.63772,ab
V016,0.60167,ab
V017,0.62346,ab
V018,0.62832,ab
V019,0.63046,ab
V020,0.62306,ab
V021,0.63792,ab
V022,0.59772,ab
V023,0.61414,ab
V025,0.60938,ab
V026,0.7739,AC
V027,0.64729,ab
V028,0.62493,ab
V029,0.41992,d
V030,0.42438,d
V031,0.6249,ab
V032,0.60514,ab
V033,0.42092,d
V034,0.42521,d
V035,0.63159,ab
V036,0.68097,ab
V037,0.59212,ab
V038,0.62239,ab
V039,0.64217,ab
V040,0.62839,ab
V041,0.61848,ab
V042,0.62583,ab
V043,0.62583,ab
V044,0.64879,ab
V045,0.61624,ab
V046,0.61605,ab
V047,0.62079,ab
V048,0.61971,ab
V049,0.61542,ab
V050,0.58993,ab
V051,0.60827,ab
V052,0.63052,ab
V053,0.5726,ab
V054,0.58272,ab
V055,0.5538,ab
V056,0.56658,ab
V057,0.63231,ab
V058,0.57348,ab
V059,0.44275,c
V060,0.62627,ab
V061,0.61888,ab
V062,0.61351,ab
V063,0.63779,ab
V064,0.42994,d
V065,0.65029,ab
V066,0.62121,ab
V067,0.57829,ab
V068,0.65272,ab
V069,0.72365,ab
V070,0.62234,ab
V071,0.60581,ab
V072,0.65598,ab
V073,0.64523,ab
V074,0.63405,ab
V075,0.60753,ab
V076,0.65131,ab
V077,0.61299,ab
V078,0.60142,ab
V080,0.44678,d
V081,0.72716,ab
V082,0.41775,d
V083,0.62033,ab
V084,0.61621,ab
V085,0.61364,ab
V086,0.41224,AC
V087,0.65529,ab
V088,0.6301,ab
V089,0.62628,ab
V090,0.43233,d
V091,0.41601,c
V092,0.72508,ab
V093,0.65446,ab
V094,0.672,ab
V095,0.61383,ab
V097,0.23461,DC
V099,0.6689,ab
V100,0.66237,ab
V101,0.61129,ab
V102,0.66192,ab
V103,0.65772,ab
V104,0.37752,c
V105,0.40889,c
V106,0.40071,c
V107,0.51347,AC
V108,0.3704,AC
V109,0.91334,AC
V110,0.522,AC
V111,0.52217,Fab
V112,0.47647,Fab
V113,0.56774,Fab
V114,0.3011,Fc
V115,0.50537,Fab
V116,0.18827,Eclip
V117,0.23465,Eclip
V118,0.27439,Eclip
V119,0.1347,Eclip
V120,0.26394,Eclip
V121,0.15305,Eclip
V122,0.85274,Eclip
V123,0.77515,Eclip
V124,0.12801,Eclip
V125,0.58013,Eclip
V126,0.15264,Eclip
V127,0.26495,Eclip
V128,0.39558,Eclip
V129,0.30975,Eclip
V130,0.0515,FDC
V131,0.07399,FDC
V132,0.1226,FDC
V133,0.0382,FDC
V134,0.14251,FDC
