Star,Period (Days),Class,Metallicity
AB UMa,0.59958113,RRab,-0.49
AE Boo,0.31489,RRc,-1.39
AM Tuc,0.4058016,RRc,-1.49
AN Ser,0.52207144,RRab,-0.07
AP Ser,0.34083,RRc,-1.58
AV Peg,0.3903747,RRab,-0.08
BB Pup,0.48054884,RRab,-0.6
BH Peg,0.640993,RRab,-1.22
BX Leo,0.362755,RRc,-1.28
CS Eri,0.31133099999999997,RRc,-1.41
CU Com,0.4057605,RRd,-2.38
DH Peg,0.25551053,RRc,-0.92
DX Del,0.47261673,RRab,-0.39
HK Pup,0.7342073,RRab,-1.11
MT Tel,0.3168974,RRc,-1.85
RR Cet,0.553029,RRab,-1.45
RR Gem,0.39729000000000003,RRab,-0.29
RR Leo,0.4523933,RRab,-1.6
RR Lyr,0.5668378000000001,RRab,-1.39
RU Psc,0.390365,RRc,-1.75
RU Scl,0.49335500000000004,RRab,-1.27
RV CrB,0.33168000000000003,RRc,-1.69
RV Oct,0.5711625,RRab,-1.71
RV UMa,0.46806000000000003,RRab,-1.2
RX Eri,0.58724622,RRab,-1.33
RZ Cep,0.30868,RRc,-1.77
ST Boo,0.622286,RRab,-1.76
ST CVn,0.329045,RRc,-1.07
SU Dra,0.66042001,RRab,-1.8
SV Eri,0.713853,RRab,-1.7
SV Hya,0.4785428,RRab,-1.5
SV Scl,0.37735599999999997,RRc,-1.77
SW And,0.4422602,RRab,-0.24
SW Dra,0.56966993,RRab,-1.12
SX UMa,0.3071178,RRc,-1.81
T Sex,0.32468459999999993,RRc,-1.34
TT Lyn,0.597434355,RRab,-1.56
TU UMa,0.5576587,RRab,-1.51
TV Boo,0.31256107,RRc,-2.44
TW Her,0.399600104,RRab,-0.69
UU Vir,0.4756089,RRab,-0.87
UV Oct,0.5425800000000001,RRab,-1.74
UY Boo,0.65083,RRab,-2.56
UY Cam,0.2670274,RRc,-1.33
UY Cyg,0.56070478,RRab,-0.8
V Ind,0.47960169999999996,RRab,-1.5
V0440 Sgr,0.47747883,RRab,-1.4
V0675 Sgr,0.6422893,RRab,-2.28
VX Her,0.45535984,RRab,-1.58
W Crt,0.41201459,RRab,-0.54
WY Ant,0.5743456,RRab,-1.48
X Ari,0.65117288,RRab,-2.43
XX And,0.722757,RRab,-1.94
XZ Cyg,0.46659934,RRab,-1.44
YZ Cap,0.2734563,RRc,-1.06
